ID,Label,Class Type,Parent,In Taxon
MRO:hla-dpb-locus,HLA-DPB locus,subclass,human MHC class II locus,
MRO:hla-dqa-locus,HLA-DQA locus,subclass,human MHC class II locus,
MRO:hla-dqb-locus,HLA-DQB locus,subclass,human MHC class II locus,
MRO:hla-dra-locus,HLA-DRA locus,subclass,human MHC class II locus,
MRO:hla-drb-locus,HLA-DRB locus,subclass,human MHC class II locus,
MRO:hla-drb1-locus,HLA-DRB1 locus,subclass,HLA-DRB locus,
MRO:hla-drb3-locus,HLA-DRB3 locus,subclass,HLA-DRB locus,
MRO:hla-drb4-locus,HLA-DRB4 locus,subclass,HLA-DRB locus,
MRO:hla-drb5-locus,HLA-DRB5 locus,subclass,HLA-DRB locus,
MRO:hla-e-locus,HLA-E locus,subclass,human non-classical MHC locus,
MRO:hla-g-locus,HLA-G locus,subclass,human non-classical MHC locus,
MRO:hla-mr1-locus,HLA-MR1 locus,subclass,human non-classical MHC locus,
MRO:mhc-class-i-locus,MHC class I locus,subclass,MHC locus,
MRO:mhc-class-ii-locus,MHC class II locus,subclass,MHC locus,
MRO:mamu-a-locus,Mamu-A locus,subclass,rhesus macaque MHC class I locus,
MRO:mamu-b-locus,Mamu-B locus,subclass,rhesus macaque MHC class I locus,
MRO:mamu-dpa-locus,Mamu-DPA locus,subclass,rhesus macaque MHC class II locus,
MRO:mamu-dpb-locus,Mamu-DPB locus,subclass,rhesus macaque MHC class II locus,
MRO:mamu-dra-locus,Mamu-DRA locus,subclass,rhesus macaque MHC class II locus,
MRO:mamu-drb-locus,Mamu-DRB locus,subclass,rhesus macaque MHC class II locus,
MRO:papa-a-locus,Papa-A locus,subclass,bonobo MHC class I locus,
MRO:patr-a-locus,Patr-A locus,subclass,chimpanzee MHC class I locus,
MRO:patr-al-locus,Patr-AL locus,subclass,chimpanzee non-classical MHC locus,
MRO:patr-b-locus,Patr-B locus,subclass,chimpanzee MHC class I locus,
MRO:patr-c-locus,Patr-C locus,subclass,chimpanzee MHC class I locus,
MRO:patr-dpa-locus,Patr-DPA locus,subclass,chimpanzee MHC class II locus,
MRO:patr-dpb-locus,Patr-DPB locus,subclass,chimpanzee MHC class II locus,
MRO:patr-dqa-locus,Patr-DQA locus,subclass,chimpanzee MHC class II locus,
MRO:patr-dqb-locus,Patr-DQB locus,subclass,chimpanzee MHC class II locus,
MRO:patr-dra-locus,Patr-DRA locus,subclass,chimpanzee MHC class II locus,
