ID,Label,IEDB Label,Synonyms,Class Type,Parent,In Taxon,With Serotype
MRO:hla-protein-complex-with-dr8-serotype,HLA protein complex with DR8 serotype,HLA-DR8,HLA-DRB1*08|HLA-DRw8,equivalent,protein complex,human,HLA-DR8 serotype
MRO:hla-protein-complex-with-dr9-serotype,HLA protein complex with DR9 serotype,HLA-DR9,HLA-DRB1*09,equivalent,protein complex,human,HLA-DR9 serotype
MRO:mhc-class-i-protein-complex-with-serotype,MHC class I protein complex with serotype,class I,,equivalent,protein complex,,MHC class I serotype
MRO:mhc-class-ii-protein-complex-with-serotype,MHC class II protein complex with serotype,class II,,equivalent,protein complex,,MHC class II serotype
MRO:mamu-protein-complex-with-dr1b-serotype,Mamu protein complex with DR1B serotype,Mamu-DR1B,,equivalent,protein complex,rhesus macaque,Mamu-DR1B serotype
MRO:mamu-protein-complex-with-dr2-serotype,Mamu protein complex with DR2 serotype,Mamu-DR2,,equivalent,protein complex,rhesus macaque,Mamu-DR2 serotype
MRO:mamu-protein-complex-with-dr3a-serotype,Mamu protein complex with DR3A serotype,Mamu-DR3A,,equivalent,protein complex,rhesus macaque,Mamu-DR3A serotype
MRO:mamu-protein-complex-with-dr4-serotype,Mamu protein complex with DR4 serotype,Mamu-DR4,,equivalent,protein complex,rhesus macaque,Mamu-DR4 serotype
MRO:mamu-protein-complex-with-dr6-serotype,Mamu protein complex with DR6 serotype,Mamu-DR6,,equivalent,protein complex,rhesus macaque,Mamu-DR6 serotype
MRO:mamu-protein-complex-with-dr7a-serotype,Mamu protein complex with DR7A serotype,Mamu-DR7A,,equivalent,protein complex,rhesus macaque,Mamu-DR7A serotype
MRO:mamu-protein-complex-with-dr8-serotype,Mamu protein complex with DR8 serotype,Mamu-DR8,,equivalent,protein complex,rhesus macaque,Mamu-DR8 serotype
MRO:patr-protein-complex-with-dr1-serotype,Patr protein complex with DR1 serotype,Patr-DR1,,equivalent,protein complex,chimpanzee,Patr-DR1 serotype
MRO:patr-protein-complex-with-dr10-serotype,Patr protein complex with DR10 serotype,Patr-DR10,,equivalent,protein complex,chimpanzee,Patr-DR10 serotype
MRO:patr-protein-complex-with-dr2-serotype,Patr protein complex with DR2 serotype,Patr-DR2,,equivalent,protein complex,chimpanzee,Patr-DR2 serotype
MRO:patr-protein-complex-with-dr3-serotype,Patr protein complex with DR3 serotype,Patr-DR3,,equivalent,protein complex,chimpanzee,Patr-DR3 serotype
MRO:patr-protein-complex-with-dr4-serotype,Patr protein complex with DR4 serotype,Patr-DR4,,equivalent,protein complex,chimpanzee,Patr-DR4 serotype
MRO:patr-protein-complex-with-dr5-serotype,Patr protein complex with DR5 serotype,Patr-DR5,,equivalent,protein complex,chimpanzee,Patr-DR5 serotype
MRO:patr-protein-complex-with-dr7-serotype,Patr protein complex with DR7 serotype,Patr-DR7,,equivalent,protein complex,chimpanzee,Patr-DR7 serotype
MRO:patr-protein-complex-with-dr8-serotype,Patr protein complex with DR8 serotype,Patr-DR8,,equivalent,protein complex,chimpanzee,Patr-DR8 serotype
MRO:patr-protein-complex-with-dr9-serotype,Patr protein complex with DR9 serotype,Patr-DR9,,equivalent,protein complex,chimpanzee,Patr-DR9 serotype
MRO:cattle-mhc-class-i-protein-complex-with-serotype,cattle MHC class I protein complex with serotype,cattle,,equivalent,protein complex,cattle,cattle MHC class I serotype
MRO:chimpanzee-mhc-class-ii-protein-complex-with-serotype,chimpanzee MHC class II protein complex with serotype,chimpanzee,,equivalent,protein complex,chimpanzee,chimpanzee MHC class II serotype
MRO:human-mhc-class-i-protein-complex-with-serotype,human MHC class I protein complex with serotype,human,,equivalent,protein complex,human,human MHC class I serotype
MRO:human-mhc-class-ii-protein-complex-with-serotype,human MHC class II protein complex with serotype,human,,equivalent,protein complex,human,human MHC class II serotype
MRO:rhesus-macaque-mhc-class-ii-protein-complex-with-serotype,rhesus macaque MHC class II protein complex with serotype,rhesus macaque,,equivalent,protein complex,rhesus macaque,rhesus macaque MHC class II serotype
